name,lat,lon
Aberdeen,-32.16689305,150.8919662
Adamstown,-32.933587117500004,151.7203497
Albion Park,-34.563159604999996,150.79889295
Allawah,-33.969752166,151.11457633999999
Arlington LR,-33.9020475,151.13810135
Arncliffe,-33.9368449675,151.1471404
Artarmon,-33.80851127666667,151.18463016666666
Ashfield,-33.8876263425,151.125774425
Asquith,-33.688590239999996,151.10813235
Auburn,-33.849471449999996,151.03297716666665
Austinmer,-34.30651093,150.9291291
Awaba,-33.012980866666666,151.54212213333332
Banksia,-33.94485837,151.14059863333333
Bankstown,-33.91784225,151.0340474
Bardwell Park,-33.93137824,151.125379
Bargo,-34.2910038075,150.58008847500003
Beecroft,-33.74916493333333,151.06643210000001
Bell,-33.506199975,150.2792203
Bellambi,-34.36261281,150.9101311
Belmore,-33.9172381,151.0883308
Berala,-33.87168557,151.032578
Beresfield,-32.799487443333334,151.65835803333331
Berowra,-33.62295827,151.15335295
Berry,-34.78027342,150.69672350000002
Beverly Hills,-33.94917783,151.08072503333332
Bexley North,-33.9374812,151.1139261
Birrong,-33.89253644,151.0243134
Blackheath,-33.63398897,150.2844219
Blacktown,-33.768303707777775,150.9074106666667
Blaxland,-33.74386642,150.60963442
Bomaderry,-34.85374494,150.60977019999999
Bombo,-34.658771225,150.85376250000002
Bondi Junction,-33.89129804,151.24839046666668
Booragul,-32.971799585,151.6049794
Bowral,-34.47814149666667,150.41661951666666
Branxton,-32.662151345,151.34573410000002
Broadmeadow,-32.922529335,151.73516155000002
Bullaburra,-33.723343735,150.4150952
Bulli,-34.3340727725,150.91490105
Bundanoon,-34.65590114,150.29965675
Burradoo,-34.494185869999995,150.3979939
Burwood,-33.877117025000004,151.10383865
Cabramatta,-33.89481849,150.93887157999998
Camellia,-33.81918103,151.024141
Campbelltown,-34.06352980142857,150.81450435714285
Campsie,-33.91044441,151.10356585
Canley Vale,-33.8873717325,150.943554925
Canterbury,-33.912116299999994,151.11901369999998
Capitol Square LR,-33.879756279999995,151.20553519999999
Cardiff,-32.94138198666666,151.66245876666667
Caringbah,-34.04160197,151.1218851
Carlingford,-33.78258523,151.04678227999997
Carlton,-33.968194819999994,151.12433761999998
Carramar,-33.884542415,150.96064715
Casula,-33.95025742599999,150.91186768000003
Central,-33.88350565066666,151.20672857333335
Chatswood,-33.79721774,151.1810231142857
Cheltenham,-33.75541827,151.07812945
Chester Hil,-33.88368818,151.00046269999999
Circular Quay,-33.861355726999996,151.21065537
Clarendon,-33.608508400000005,150.7878335
Clyde,-33.83580435499999,151.0168013
Coalcliff,-34.24253571,150.97705200000001
Cockle Creek,-32.942671295,151.62412159999997
Coledale,-34.28989285,150.94303100000002
Como,-34.00446285,151.0680892
Concord West,-33.848076416,151.0854914
Coniston,-34.438102355,150.88498275
Convention Centre LR,-33.87286403,151.1981517
Corrimal,-34.375583840000004,150.9050197
Cowan,-33.59338482,151.17160155
Cringila,-34.467227115,150.87911530000002
Cronulla,-34.05597516666666,151.1515852
Croydon,-33.88301118,151.11529910000002
Dapto,-34.493088625,150.79170575
Denistone,-33.79951928,151.08675390000002
Domestic,-33.933838863999995,151.1802893
Doonside,-33.76382168,150.86925815
Dora Creek,-33.08398633666666,151.5008681
Douglas Park,-34.18326863,150.71054270000002
Dulwich Grove LR,-33.904766550000005,151.1389887
Dulwich Hill,-33.91105837,151.14114630000003
Dulwich Hill LR,-33.910649199999995,151.14057025
Dundas,-33.8038007575,151.03284762500002
Dungog,-32.402525315,151.759318
East Hills,-33.9617394625,150.984443725
East Maitland,-32.74457268,151.58747409999998
East Richmond,-33.601774445000004,150.75877925
Eastwood,-33.790161644,151.08236838
Edgecliff,-33.87893677,151.236154
Edmondson Park,-33.96933361,150.85885455
Emu Plains,-33.7456965825,150.67135235
Engadine,-34.067471512500006,151.01470279999998
Epping,-33.772735518000005,151.08183282
Ersineville,-33.90005302,151.1855565
Exeter,-34.613422,150.31757950000002
Exhibition Centre LR,-33.876782950000006,151.19936274999998
Fairfield,-33.87247930666667,150.95689178333336
Fairy Meadow,-34.395078435,150.89651465
Fassifern,-32.98564411666666,151.58107503333335
Faulconbridge,-33.696567782,150.53473564
Fish Market LR,-33.870616325,151.19191560000002
Flemington,-33.864523795,151.07045779999999
Gerringong,-34.74477882,150.8176504
Glebe LR,-33.87718591,151.18740885
Glenbrook,-33.76902646,150.6212638
Glenfield,-33.972081932,150.89328017999998
Gordon,-33.755820474,151.15430204
Gosford,-33.4234187525,151.34166770000002
Goulburn,-34.7585734,149.71991880000002
Granville,-33.83283856,151.01144855
Green Square,-33.9060695025,151.202835525
Greta,-32.68673189,151.38416790000002
Guildford,-33.854290147499995,150.98445601249998
Gymea,-34.034889125,151.08519535
Hamilton,-32.918339932500004,151.748358475
Harris Park,-33.823309984999995,151.00769809999997
Hawkesbury River,-33.547055040000004,151.22665695
Hawthorne LR,-33.87954123,151.14732844999997
Hazelbrook,-33.72343009666667,150.45418576666668
Heathcote,-34.087863135,151.00835685
Helensburgh,-34.17716824,150.99416635
Hexham,-32.8287522,151.68431999999999
High Street,-32.741649685,151.56430985
Hilldale,-32.50448435,151.64980500000001
Holsworthy,-33.962911856666665,150.95643760000002
Homebush,-33.866771469999996,151.08620799999997
Hornsby,-33.703635552,151.09885721999999
Hurlstone Park,-33.91018981,151.1325419
Hurstville,-33.967077074,151.10225987999996
Ingleburn,-33.997585618,150.86443918000003
International,-33.93519592,151.1664862
Jannali,-34.01598971333333,151.06465593333334
John Street Square LR,-33.867212305,151.19225269999998
Jubilee Park LR,-33.87540644333333,151.17852696666668
Katoomba,-33.712189605,150.312018625
Kembla Grange,-34.47012644,150.81779609999998
Kiama,-34.67259919,150.8543663
Killara,-33.76577383,151.16194860000002
Kings Cross,-33.87417947,151.2223014
Kingsgrove,-33.94043796333333,151.1009385
Kingswood,-33.75831524,150.7201651
Kirrawee,-34.03491126,151.07102030000001
Kogarah,-33.96271264166666,151.1323366
Koolewong,-33.46613862,151.31842310000002
Kotara,-32.941569494999996,151.6977613
Lakemba,-33.91991377666667,151.07625193333334
Lapstone,-33.773418965000005,150.64262300000001
Lawson,-33.7192646675,150.42989595
Leichhardt North LR,-33.874990770000004,151.15454450000001
Leightonfield,-33.881578975,150.98503240000002
Leppingon,-33.954477505,150.80825655
Leumeah,-34.05071559571429,150.83065282857143
Leura,-33.71212061,150.3311289
Lewisham,-33.8933727,151.1475712
Lewisham West LR,-33.89381832,151.1434026
Lidcombe,-33.86364434666667,151.044657
Lilyfield LR,-33.874155655,151.16479594999998
Linden,-33.715037554999995,150.50484405000003
Lindfield,-33.775527662857144,151.1692828142857
Lisarow,-33.3821271775,151.37012525
Lithgow,-33.480721259999996,150.1568178
Liverpool,-33.92394526,150.9272111
Lochinvar,-32.720439295,151.45050605
Loftus,-34.045227005,151.0512993
Lysaghts,-34.454811799999995,150.8752141
Macarthur,-34.0723826925,150.79727540000002
Macdonaldtown,-33.89679186,151.1853862
Macquarie Fields,-33.98490472,150.87900785
Macquarie Park,-33.785238587500004,151.128231475
Macquarie University,-33.777308025,151.11827050000002
Maitland,-32.73774765,151.55223600000002
Marayong,-33.74612268,150.90017772500002
Marion LR,-33.8839155,151.14499630000003
Marrickville,-33.913842676,151.15320260000004
Martin Place,-33.86783980666667,151.21099055
Martins Creek,-32.55848164,151.618412
Marulan,-34.709550295,150.00567345000002
Mascot,-33.92322697333333,151.18736493333336
Meadowbank,-33.8156620675,151.090072275
Medlow Bath,-33.67380353,150.28076655
Menangle,-34.125624885,150.74412365
Menangle Park,-34.10338337,150.74501535000002
Merrylands,-33.83680142,150.9922910272727
Metford,-32.765419765,151.6182129
Milsons Point,-33.845870899999994,151.21206125
Mindaribba,-32.66835055,151.5845537
Minnamurra,-34.62633044,150.85300980000002
Minto,-34.027549935,150.84241856666668
Miranda,-34.036075,151.1019708
Mittagong,-34.452521219999994,150.4483738
Morisset,-33.10897762666667,151.48813253333333
Mortdale,-33.971142369999995,151.08094555000002
Moss Vale,-34.547991034999995,150.37198684999998
Mount Colah,-33.67129214,151.11509819999998
Mount Druitt,-33.769273160000004,150.82005172727273
Mount Kurring-gai,-33.65380696666667,151.1368565
Mount Victoria,-33.588221544999996,150.2569395
Mulgrave,-33.62649899,150.8298983
Museum,-33.87617253142857,151.20959562857144
Muswellbrook,-32.26748462333334,150.8907095666667
Narara,-33.39466062333333,151.34446736666666
Narwee,-33.947666045000005,151.07072165
Newcastle Interchange,-32.92423364,151.759460425
Newtown,-33.897912585,151.17888664999998
Niagara Park,-33.38314922,151.3544885
Normanhurst,-33.72077841,151.09702685
North Ryde,-33.794533385,151.1379247
North Strathfield,-33.859434705,151.0883544
North Sydney,-33.841012815,151.20743655
North Wollongong,-34.412176636666665,150.89143103333333
Noth Strathfield,-33.85755734,151.0873986
Oak Flats,-34.57186705666667,150.8204246
Oatley,-33.98016410333334,151.07900756666666
Olympic Park,-33.84649025923078,151.06958223846155
Otford,-34.21078052333334,151.00564476666668
Ourimbah,-33.359570035000004,151.36996792500003
Paddy's Markets,-33.879295855,151.20268065
Padstow,-33.951851164000004,151.03204892
Panania,-33.95426877,150.99828225
Parramatta,-33.81756218333333,151.00515380000002
Paterson,-32.60237058,151.6147645
Pendle Hill,-33.8014023825,150.9563331
Pennant Hills,-33.73789195333333,151.07260781666668
Penrith,-33.750094158,150.69643637999997
Penrose,-34.672232995,150.21218019999998
Penshurst,-33.9662076675,151.0887551
Petersham,-33.893814575,151.15565465
Picton,-34.1794554525,150.6127452
Point Clare,-33.44623243,151.32833689999998
Port Kembla,-34.47718852,150.90285669999997
Port Kembla North,-34.4730546,150.8871842
Punchbowl,-33.92540992,151.05557570000002
Pymble,-33.74481085,151.14223605
Pyrmont Bay LR,-33.869535,151.197707
Quakers Hill,-33.7272929325,150.886103875
Redfern,-33.89209914333333,151.19883883333333
Regents Park,-33.88323793,151.0238908
Revesby,-33.9525285325,151.015329025
Rhodes,-33.83060587,151.08703962500002
Richmond,-33.598812795,150.75228185000003
Riverstone,-33.67955888666666,150.8605633
Riverwood,-33.951535835,151.05255595
Rockdale,-33.952298464,151.13668288
Rooty Hill,-33.77165753,150.844216375
Rosehill,-33.82311425666666,151.0220855
Roseville,-33.784514195,151.17780770000002
Rozelle Bay LR,-33.87185311666667,151.172911
Rydalmere,-33.81015641,151.02947969999997
Sandgate,-32.87279417,151.7028016
Scarborough,-34.265597225,150.9653453
Schofields,-33.704464748,150.87386524000001
Scone,-32.04670656,150.86707280000002
Sefton,-33.88531299,151.01173325
Seven Hills,-33.774271557999995,150.93596198
Shellharbour,-34.591267994999995,150.844735475
Singleton,-32.571882646666666,151.1655699
Springwood,-33.69917201333333,150.56350813333333
St James,-33.87034713,151.21093015000002
St Leonards,-33.822333881666665,151.19393001666666
St Marys,-33.7621116975,150.775003575
St Peters,-33.90719829,151.18075535000003
Stanmore,-33.894420440000005,151.1641809
Stanwell Park,-34.226163764999995,150.98111949999998
Strathfield,-33.871720025,151.094299625
Summer Hill,-33.890334356,151.13877234
Sutherland,-34.031698915,151.0571486
Sydenham,-33.914887655,151.16607415
Tahmoor,-34.22352668,150.590036
Tallong,-34.71837568,150.08609280000002
Tarro,-32.808858040000004,151.6694182
Tascott,-33.45086146,151.31867192500002
Taverners Hill LR,-33.88974316,151.145109225
Telarah,-32.723305005,151.5398905
Telopea,-33.794192536,151.04142962
Tempe,-33.9237789575,151.15660435
Teralba,-32.96255275,151.60390606666667
The Star LR,-33.867270899999994,151.1957096
Thirroul,-34.3179251575,150.9190863
Thornleigh,-33.73200227666667,151.07827493333335
Thornton,-32.783567265,151.6399743
Toongabbie,-33.7870711,150.951387
Town Hall,-33.87357432444444,151.20673294444447
Towradgi,-34.38410528,150.90151305
Tuggerah,-33.307661037500004,151.420238475
Turramurra,-33.7327337,151.12887840000002
Turrella,-33.92977422,151.1404283
Unanderra,-34.45496584,150.8457894
Valley Heights,-33.70396236,150.58392976666667
Victoria Street,-32.751044820000004,151.593967
Villawood,-33.88083092,150.97735484999998
Vineyard,-33.65018802,150.85106299999998
Wahroonga,-33.71800187,151.11751850000002
Waitara,-33.71047147,151.10508065
Wallarobba,-32.49615032,151.69569209999997
Warabrook,-32.88773531,151.7103541
Waratah,-32.902228584999996,151.7311194
Waratah Mills LR,-33.8988874,151.13993384999998
Warnervale,-33.247258540000004,151.4489911
Warrawee,-33.724467505,151.12188135000002
Warrimoo,-33.721724089999995,150.6027447
Warwick Farm,-33.9133265475,150.9351395
Waterfall,-34.13517267,150.994605
Waverton,-33.837588855,151.19740245000003
Wentworth Falls,-33.709427559999995,150.3763048
Wentworth Park LR,-33.87465464,151.1938165
Wentworthville,-33.806966810000006,150.972146925
Werrington,-33.7591360775,150.75748625
West Ryde,-33.807265074,151.09023688
Westmead,-33.808475395,150.987857875
Wiley Park,-33.92274334,151.06804054999998
Windsor,-33.61327552,150.8100677
Wingello,-34.692176200000006,150.15829380000002
Wirragula,-32.46292679,151.7424687
Wolli,-33.9287587725,151.15413389999998
Wollongong,-34.426537939999996,150.888283275
Wollstonecraft,-33.8320480375,151.19203585
Wombarra,-34.27537866,150.95359180000003
Wondabyne,-33.49202131,151.2571482
Woodford,-33.73549572666667,150.48164116666666
Woolooware,-34.0475538575,151.14367427500002
Woonona,-34.349428116666665,150.9152867
Woy Woy,-33.485770775,151.32366945
Wyee,-33.18000227,151.48704829999997
Wynyard,-33.865528119230774,151.2054278153846
Wyong,-33.28524702,151.425382025
Yagoona,-33.90733106,151.0246767
Yennora,-33.864880279999994,150.97087754999998
Yerrinbool,-34.37159251,150.54344809999998
Zig Zag,-33.47184198,150.20211940000002
